,precision,recall,f1-score,support
N,0.9959852256303195,0.976231701558319,0.9860095389507154,6353.0
S,0.0,0.0,0.0,4.0
V,0.29133858267716534,0.6607142857142857,0.40437158469945356,56.0
F,0.0,0.0,0.0,4.0
Q,0.0,0.0,0.0,0.0
accuracy,0.9722611812373383,0.9722611812373383,0.9722611812373383,0.9722611812373383
macro avg,0.257464761661497,0.32738919745452094,0.2780762247300338,6417.0
weighted avg,0.9885942183355682,0.9722611812373383,0.9797044428388755,6417.0
